,Actor_list
1185,Tom Wilkinson
1186,Gerry Robert Byrne
1187,Alfred Molina
1188,Kate Mara
1189,Robin Wright
1190,Lucy Davis
1191,Lucy Hale
1192,Nina Dobrev
1193,Lochlyn Munro
1194,Darren Barnet
1195,Harry Shum Jr.
1196,Dan Stevens
1197,Sheila Kelley
1198,Maika Monroe
1199,Joel David Moore
1200,Kim Min-hee
1201,Ha Jung-woo
1202,Cho Jin-woong
1203,Moon So-ri
1204,Narilya Gulmongkolpech
1205,Sawanee Utoomma
1206,Sirani Yankittikan
1207,Yasaka Chaisorn
1208,Jackie Earle Haley
1209,Malin Akerman
1210,Tilda Swinton
1211,Ed Harris
1212,Michelle Pfeiffer
1213,Ian McShane
1214,Linda Cardellini
1215,Sebastian Maniscalco
1216,Uma Thurman
1217,David Carradine
1218,Daryl Hannah
1219,Michael Madsen
1220,Keir Gilchrist
1221,Olivia Luccardi
1222,Lili Sepe
1223,Clive Owen
1224,Yvonne Orji
1225,Meredith Hagner
1226,Gena Rowlands
1227,James Garner
1228,Martin Freeman
1229,Richard Armitage
1230,Haley Lu Richardson
1231,Jessica Sula
1232,Shauna Macdonald
1233,Natalie Mendoza
1234,Alex Reid
1235,Saskia Mulder
1236,Sophia Ali
1237,Jai Courtney
1238,Bobby Cannavale
1239,Sienna Miller
1240,Charlie Cox
1241,Claire Danes
1242,Michael Pena
1243,Colin Jost
1244,Tom
1245,Srdjan 'Zika' Todorovic
1246,Sergej Trifunovic
1247,Jelena Gavrilovic
1248,Slobodan Bestic
1249,Helen Hunt
